bit_index,grid_row,grid_col,pixel_y,pixel_x,sample_value,threshold,bit
397,18,6,90,360,27.0,30.19415839130547,0
398,18,7,90,412,31.0,30.19415839130547,1
399,18,8,90,464,33.0,30.19415839130547,1
400,18,9,90,516,34.0,30.19415839130547,1
401,18,10,90,568,37.0,30.19415839130547,1
402,18,11,90,620,35.0,30.19415839130547,1
403,18,12,90,672,34.0,30.19415839130547,1
404,18,13,90,724,30.0,30.19415839130547,0
405,18,14,90,776,27.0,30.19415839130547,0
406,18,15,90,828,25.0,30.19415839130547,0
407,18,16,90,880,23.0,30.19415839130547,0
408,18,17,90,932,18.0,30.19415839130547,0
409,18,18,90,984,14.0,30.19415839130547,0
410,18,19,90,1036,14.0,30.19415839130547,0
411,18,20,90,1088,12.0,30.19415839130547,0
412,18,21,90,1140,11.0,30.19415839130547,0
413,18,22,90,1192,8.0,30.19415839130547,0
414,19,0,95,48,13.0,30.19415839130547,0
415,19,1,95,100,13.0,30.19415839130547,0
416,19,2,95,152,14.0,30.19415839130547,0
417,19,3,95,204,16.0,30.19415839130547,0
418,19,4,95,256,18.0,30.19415839130547,0
419,19,5,95,308,22.0,30.19415839130547,0
420,19,6,95,360,28.0,30.19415839130547,0
421,19,7,95,412,32.0,30.19415839130547,1
422,19,8,95,464,33.0,30.19415839130547,1
423,19,9,95,516,34.0,30.19415839130547,1
424,19,10,95,568,36.0,30.19415839130547,1
425,19,11,95,620,37.0,30.19415839130547,1
426,19,12,95,672,35.0,30.19415839130547,1
427,19,13,95,724,32.0,30.19415839130547,1
428,19,14,95,776,28.0,30.19415839130547,0
429,19,15,95,828,28.0,30.19415839130547,0
430,19,16,95,880,24.0,30.19415839130547,0
431,19,17,95,932,20.0,30.19415839130547,0
432,19,18,95,984,15.0,30.19415839130547,0
433,19,19,95,1036,14.0,30.19415839130547,0
434,19,20,95,1088,12.0,30.19415839130547,0
435,19,21,95,1140,11.0,30.19415839130547,0
436,19,22,95,1192,9.0,30.19415839130547,0
