row,col,bit
40,37,0
40,38,blank
40,39,0
40,40,1
40,41,1
40,42,1
40,43,0
40,44,0
40,45,0
40,46,0
40,47,0
40,48,0
41,0,0
41,1,0
41,2,0
41,3,0
41,4,0
41,5,0
41,6,0
41,7,0
41,8,0
41,9,0
41,10,1
41,11,1
41,12,1
41,13,1
41,14,1
41,15,1
41,16,blank
41,17,blank
41,18,0
41,19,1
41,20,overlay
41,21,blank
41,22,0
41,23,0
41,24,0
41,25,1
41,26,1
41,27,1
41,28,1
41,29,1
41,30,1
41,31,1
41,32,1
41,33,0
41,34,1
41,35,0
41,36,1
41,37,0
41,38,1
41,39,0
41,40,1
41,41,0
41,42,0
41,43,1
41,44,0
41,45,0
41,46,0
41,47,0
41,48,0
42,0,0
42,1,0
42,2,0
42,3,0
42,4,0
42,5,0
42,6,0
42,7,0
42,8,0
42,9,0
42,10,1
42,11,1
42,12,1
42,13,1
42,14,1
42,15,1
42,16,1
42,17,1
42,18,0
42,19,1
42,20,0
42,21,1
42,22,0
42,23,1
42,24,0
42,25,1
42,26,1
42,27,1
42,28,1
42,29,0
42,30,0
42,31,1
42,32,1
42,33,0
42,34,1
42,35,0
42,36,1
42,37,0
42,38,1
42,39,0
42,40,0
42,41,1
42,42,blank
42,43,0
42,44,0
42,45,0
42,46,0
42,47,0
42,48,0
43,0,0
43,1,0
43,2,0
43,3,0
43,4,0
43,5,0
43,6,0
43,7,0
43,8,0
43,9,0
43,10,1
43,11,1
43,12,1
43,13,1
43,14,1
43,15,1
43,16,1
43,17,1
43,18,0
43,19,1
43,20,0
43,21,1
43,22,0
43,23,1
43,24,0
43,25,1
43,26,1
43,27,1
43,28,1
43,29,1
43,30,1
43,31,1
43,32,1
43,33,0
43,34,1
43,35,0
43,36,1
43,37,0
43,38,1
43,39,0
43,40,0
43,41,1
43,42,1
43,43,0
43,44,0
43,45,0
43,46,0
43,47,0
43,48,0
44,0,0
44,1,0
44,2,0
44,3,0
44,4,0
44,5,0
44,6,0
44,7,0
44,8,0
44,9,0
44,10,1
44,11,1
44,12,1
44,13,1
44,14,1
44,15,1
44,16,blank
44,17,blank
44,18,0
44,19,1
44,20,0
44,21,1
44,22,0
44,23,1
44,24,0
44,25,blank
44,26,blank
44,27,1
44,28,1
44,29,1
44,30,1
44,31,1
44,32,1
44,33,0
44,34,1
44,35,0
44,36,1
44,37,0
44,38,1
44,39,0
44,40,0
44,41,1
44,42,1
44,43,0
44,44,0
44,45,0
44,46,0
44,47,0
44,48,0
45,0,0
45,1,0
45,2,0
45,3,0
45,4,0
45,5,0
45,6,0
45,7,0
45,8,0
45,9,0
45,10,0
45,11,0
45,12,1
45,13,1
45,14,1
45,15,1
45,16,1
45,17,1
45,18,0
45,19,1
45,20,0
45,21,1
45,22,0
45,23,1
45,24,0
45,25,1
45,26,1
45,27,1
45,28,1
45,29,1
45,30,blank
45,31,1
45,32,1
45,33,0
45,34,1
45,35,0
45,36,1
45,37,0
45,38,1
45,39,blank
45,40,1
45,41,1
45,42,1
45,43,0
45,44,0
45,45,0
45,46,0
45,47,0
45,48,0
